Age,Sex,Sleep quality,Reliability,Psychoticism,Nervousness,Character
50,1,1,63.93,54.05,63.47,54.7
30,1,2,31.77,43.66,70.11,52.56
35,1,3,44.25,34.75,51.35,59.48
44,1,3,57.75,47.47,42.19,45.58
30,1,0,47.32,42.99,49.24,47.66
39,1,2,13.48,59.48,72.45,64.21
28,1,1,40.62,50.03,76.75,42.9
35,1,1,53.48,40.25,57.68,40.57
31,1,2,52.42,37.29,43.56,69.47
42,1,1,54.74,37.24,42.19,40.81
49,1,3,60.75,40.65,54.72,45.58
59,1,1,58.58,51.07,38.41,37.46
52,1,3,45.21,60,61.38,52.24
31,1,2,17.02,50.03,74.54,38.07
35,1,3,35.02,53.98,55.57,33.48
29,1,3,25.87,65.96,72.32,38.07
41,1,2,38.09,56.73,0,28.75
51,1,2,54.74,47.47,40.1,55.13
50,1,3,39.73,40.65,63.07,62.29
20,1,3,31.77,46.85,67.9,50.14
53,1,3,53.24,51.07,59.29,52.24
35,1,3,41.17,40.25,68.23,47.66
38,1,3,68.86,42.99,49.24,42.93
28,1,2,49.47,30.92,43.56,50.14
40,1,3,53.48,42.99,64.01,50.02
37,1,3,59.63,42.99,53.46,64.21
35,1,1,16.55,51.24,70.34,52.39
35,1,3,53.48,45.74,36.58,50.02
29,1,3,52.42,50.03,72.32,28.41
54,1,3,50.56,33.21,65.55,39.93
87,1,3,57.24,40.99,65.49,56.48
21,1,2,28.82,59.59,72.32,35.65
30,1,3,49.47,43.66,72.32,38.07
29,1,2,37.67,37.29,45.77,62.22
29,1,2,46.52,50.03,70.11,47.73
43,1,3,57.75,40.65,69.33,43.2
32,1,3,28.86,45.74,38.69,54.75
48,1,2,57.75,37.24,50.54,33.65
38,1,3,44.25,48.49,42.91,31.11
55,1,3,53.24,48.1,59.29,59.63
65,1,2,57.24,44.2,59.01,35.35
57,1,3,55.91,51.07,38.41,42.39
45,1,2,39.73,54.3,67.24,33.65
53,1,3,45.21,48.1,50.94,42.39
30,1,1,49.47,43.66,63.47,47.73
65,1,1,42.58,31.38,52.53,56.48
67,1,2,60.18,44.2,35.25,37.7
47,1,1,54.74,54.3,69.33,38.42
33,1,3,50.4,37.5,57.68,57.12
43,1,3,54.74,47.47,56.81,43.2
54,1,3,47.89,54.05,67.64,39.93
48,1,1,57.75,37.24,31.75,76.61
27,1,1,58.32,37.29,52.41,45.31
58,1,3,53.24,51.07,40.5,54.7
53,1,2,55.91,42.14,44.68,54.7
54,1,3,50.56,54.05,59.29,54.7
63,1,3,54.31,40.99,65.49,42.39
43,1,3,42.73,50.89,44.28,40.81
67,1,2,60.18,37.79,41.73,54.13
58,1,3,45.21,62.98,75.99,44.85
59,1,2,61.26,45.12,34.24,54.7
58,1,1,50.56,48.1,65.55,32.54
57,1,3,45.21,42.14,69.73,67.02
47,1,2,45.74,57.71,71.42,47.97
61,1,0,53.24,62.98,34.24,37.46
45,1,2,57.75,47.47,56.81,40.81
34,1,3,56.55,56.73,68.23,38.2
59,1,3,61.26,39.17,71.82,52.24
32,1,0,53.48,62.23,26.03,35.84
53,1,3,42.54,60,67.64,35
36,1,3,47.32,64.97,74.56,52.39
29,1,2,37.67,56.4,67.9,45.31
47,1,3,36.73,54.3,73.51,47.97
56,1,3,61.26,45.12,30.06,64.56
55,1,3,61.26,42.14,36.33,42.39
33,1,3,59.63,45.74,70.34,33.48
47,1,3,54.74,44.06,35.93,67.06
52,1,3,58.58,51.07,46.76,44.85
35,1,3,53.48,59.48,57.68,31.11
36,1,3,22.71,51.24,64.01,35.84
29,1,3,43.57,40.48,54.62,52.56
40,1,2,53.48,45.74,47.13,40.57
45,1,3,60.75,40.65,65.16,57.52
45,1,2,36.73,40.65,44.28,64.68
60,1,3,57.24,40.99,74.13,37.7
28,1,2,46.52,43.66,50.2,40.48
39,1,2,35.02,45.74,72.45,66.57
50,1,0,63.75,44.06,60.98,36.04
56,1,3,37.19,60,57.2,62.09
26,1,3,52.42,40.48,67.9,40.48
67,1,2,57.24,37.79,56.85,54.13
27,1,1,46.52,50.03,56.84,35.65
60,1,1,61.26,36.19,44.68,52.24
61,1,3,58.58,45.12,63.47,52.24
65,1,3,57.24,44.2,46.05,37.7
64,1,2,42.58,50.61,56.85,56.48
66,1,2,54.31,44.2,59.01,49.44
18,1,1,34.3,67.38,68.8,64.57
33,1,2,16.55,45.74,64.01,76.03
31,1,2,44.25,45.74,64.01,73.66
55,1,3,50.56,57.02,44.68,52.24
48,1,3,54.74,54.3,75.59,43.2
48,1,2,60.75,37.24,73.51,45.58
55,1,3,55.91,39.17,55.11,44.85
39,1,3,50.4,40.25,68.23,59.48
46,1,3,57.75,37.24,60.98,40.81
54,1,2,53.24,60,30.06,37.46
58,1,3,45.21,51.07,78.08,62.09
42,1,3,33.72,50.89,75.59,33.65
30,1,0,16.55,70.47,68.23,59.48
43,1,3,60.75,50.89,60.98,40.81
49,1,3,63.75,37.24,69.33,50.36
66,1,3,54.31,44.2,71.97,47.09
38,1,0,50.4,45.74,61.9,40.57
51,1,1,63.93,33.21,69.73,39.93
54,1,2,37.19,77.86,73.9,35
29,1,2,52.42,37.29,72.32,67.05
39,1,2,53.48,42.99,64.01,59.48
42,1,3,30.72,61.13,63.07,69.45
45,1,3,30.72,37.24,48.46,50.36
45,1,2,39.73,30.41,56.81,47.97
35,1,2,25.78,40.25,57.68,59.48
39,1,3,38.09,51.24,72.45,52.39
55,1,2,55.91,45.12,57.2,62.09
53,1,3,53.24,51.07,73.9,37.46
43,1,1,54.74,40.65,56.81,59.9
43,1,2,42.73,57.71,69.33,36.04
41,1,3,31.94,45.74,70.34,33.48
40,1,3,54.74,40.65,69.33,47.97
34,1,2,28.86,48.49,70.34,33.48
23,1,2,43.57,40.48,63.47,57.39
43,1,3,57.75,40.65,56.81,45.58
36,1,3,62.71,56.73,34.47,40.57
30,1,3,34.72,53.22,61.26,64.64
52,1,1,47.89,51.07,73.9,37.46
33,1,2,59.63,42.99,45.02,35.84
61,1,2,45.21,45.12,53.03,32.54
47,1,3,45.74,57.71,69.33,43.2
53,1,3,37.19,68.93,65.55,52.24
35,1,3,25.78,67.72,74.56,35.84
44,1,1,60.75,33.82,69.33,36.04
64,1,3,30.85,60.22,52.53,61.17
48,1,2,57.75,50.89,42.19,40.81
48,1,2,33.72,50.89,73.51,47.97
62,1,3,54.31,50.61,30.93,44.74
28,1,3,28.82,50.03,76.75,67.05
30,1,1,52.42,46.85,61.26,54.98
69,1,3,48.45,60.22,54.69,47.09
55,1,3,47.89,45.12,57.2,37.46
52,1,1,37.19,57.02,65.55,44.85
46,1,3,63.75,30.41,63.07,45.58
42,1,2,51.74,40.65,48.46,62.29
30,1,3,50.4,56.73,66.12,52.39
29,1,3,49.47,37.29,50.2,45.31
30,1,2,52.42,37.29,74.54,54.98
64,1,2,39.65,34.58,48.21,58.83
49,1,1,60.75,40.65,40.1,50.36
53,1,3,55.91,48.1,42.59,62.09
35,1,2,19.63,64.97,72.45,45.3
59,1,1,55.91,33.21,63.47,30.07
64,1,2,42.58,37.79,41.73,61.17
51,1,2,48.74,64.54,42.19,33.65
42,1,1,57.75,40.65,69.33,43.2
43,1,1,54.74,44.06,58.89,38.42
54,1,3,58.58,36.19,40.5,39.93
49,1,2,51.74,30.41,67.24,69.45
31,1,2,35.02,42.99,55.57,42.93
32,1,3,44.25,56.73,64.01,40.57
48,1,3,57.75,37.24,54.72,43.2
68,1,2,27.92,60.22,63.33,40.05
67,1,2,45.51,44.2,37.41,42.39
37,1,3,22.71,51.24,68.23,40.57
27,1,0,31.77,59.59,43.56,71.88
59,1,3,45.21,45.12,67.64,30.07
45,1,3,60.75,37.24,67.24,36.04
65,1,3,51.38,50.61,59.01,28.31
54,1,3,66.6,48.1,63.47,39.93
46,1,2,51.74,40.65,33.84,47.97
36,1,0,62.71,40.25,36.58,42.93
35,1,3,47.32,45.74,53.46,59.48
32,1,2,44.25,45.74,72.45,38.2
79,1,3,51.38,44.2,67.65,37.7
31,1,3,35.02,48.49,70.34,35.84
72,1,1,60.18,40.99,54.69,61.17
35,1,3,25.78,45.74,72.45,54.75
56,1,2,58.58,51.07,34.24,59.63
33,1,3,25.78,48.49,59.79,42.93
56,1,3,47.89,45.12,59.29,37.46
27,1,2,55.37,40.48,70.11,30.82
52,1,3,45.21,48.1,73.9,49.78
50,1,2,42.73,74.78,69.33,36.04
42,1,0,30.72,64.54,69.33,67.06
32,1,3,38.09,40.25,55.57,57.12
47,1,2,51.74,33.82,60.98,40.81
59,1,1,58.58,33.21,67.64,47.32
35,1,3,47.32,48.49,36.58,52.39
44,1,2,27.72,54.3,56.81,45.58
50,1,3,53.24,39.17,42.59,49.78
28,1,2,25.87,81.88,72.32,69.47
45,1,3,42.73,37.24,63.07,36.04
50,1,1,36.73,54.3,71.42,33.65
48,1,2,51.74,47.47,56.81,47.97
47,1,3,63.75,40.65,52.63,67.06
67,1,3,63.11,37.79,30.93,47.09
54,1,3,34.52,62.98,63.47,69.48
58,1,2,53.24,60,30.06,37.46
47,1,2,51.74,44.06,44.28,43.2
53,1,2,50.56,45.12,59.29,49.78
28,1,2,52.42,43.66,67.9,42.9
33,1,2,53.48,37.5,55.57,45.3
30,1,1,43.57,37.29,47.99,50.14
23,1,3,55.37,46.85,67.9,28.41
49,1,2,57.75,47.47,67.24,50.36
27,1,2,40.62,34.11,59.05,45.31
69,1,3,42.58,47.4,52.53,61.17
40,1,3,53.48,48.49,49.24,35.84
64,1,1,54.31,40.99,65.49,42.39
59,1,3,50.56,54.05,59.29,32.54
